dataset,bucket_low,bucket_high,rows,auc_full,auc_woA,gain,gain_ci_low,gain_ci_high
assist_17,0.0,1.0,2315,0.7539922507334235,0.7528280627732544,0.0011641879601690386,-0.0011467150797351805,0.0035559319595591435
assist_17,1.0,3.0,5561,0.7850173257017459,0.7831158938126579,0.0019014318890879789,-0.00012978490011202325,0.003866124379995431
assist_17,3.0,6.0,6852,0.7826345455814603,0.7809488866396761,0.001685658941784185,-3.521040635473434e-07,0.003278295770707185
assist_17,6.0,12.0,7029,0.792074894043217,0.7896306566583462,0.002444237384870762,0.0010254490902547903,0.0038327829296306818
assist_17,12.0,inf,8758,0.8002898255837311,0.7975961327926775,0.0026936927910535813,0.0016626778693899168,0.0036781164944561574
nips34,0.0,1.0,2155,0.7477044468884231,0.7473464962337366,0.0003579506546864675,-0.004745939953158179,0.005416574346782932
nips34,1.0,3.0,6002,0.7822846996020836,0.7771385221393909,0.005146177462692636,0.0015616516054013513,0.008660975122105837
nips34,3.0,6.0,16924,0.7873945975544515,0.7831616418379562,0.00423295571649529,0.0024116931665941034,0.006066840725941691
nips34,6.0,12.0,34642,0.7902971884775275,0.7871761174545695,0.0031210710229579997,0.0019916111374394556,0.004216977554250659
nips34,12.0,inf,78224,0.789614653270434,0.7880355106159496,0.0015791426544844445,0.0009975418055860302,0.0022540502784172663
ednet_kt1,0.0,1.0,242,0.7687573069252459,0.7683446805584211,0.0004126263668248198,-0.0100699068709518,0.010154038347877266
ednet_kt1,1.0,3.0,619,0.7362328124642522,0.7373538630488,-0.0011210505845478114,-0.010761049911600892,0.007515271520086955
ednet_kt1,3.0,6.0,1577,0.7597447758297213,0.7584634433877495,0.0012813324419718164,-0.00281474040313317,0.005219967130982386
ednet_kt1,6.0,12.0,4121,0.721500375947812,0.722634441055619,-0.001134065107807003,-0.0036510718015337284,0.0014826478386117442
ednet_kt1,12.0,inf,17097,0.7628883051453486,0.7606647917451612,0.002223513400187338,0.0007390936296097356,0.0038719305272500227
moocradar,0.0,1.0,23944,0.942815922277327,0.9423412959071789,0.0004746263701481679,-0.0002382364010496324,0.001232333672753491
moocradar,1.0,3.0,9618,0.9268825779084138,0.9264809388739559,0.0004016390344578902,-0.0008025666950260274,0.001500607648971938
moocradar,3.0,6.0,3277,0.9048234861405435,0.9049164191724772,-9.293303193369518e-05,-0.002472698047684005,0.002357559370317693
moocradar,6.0,12.0,1305,0.8855272565392762,0.88642771385018,-0.0009004573109038239,-0.005222985270815145,0.003285032751510827
moocradar,12.0,inf,464,0.8023018648018648,0.8034049284049284,-0.0011030636030635588,-0.009217228853310689,0.008170639646573774
xes3g5m,0.0,1.0,9071,0.7814974416109185,0.7795222086073152,0.0019752330036032495,0.0005708045375401871,0.0033399585533726932
xes3g5m,1.0,3.0,8182,0.8018524470173243,0.7966801964115399,0.005172250605784412,0.003027953092941846,0.0074296936771108815
xes3g5m,3.0,6.0,3107,0.8085069328649666,0.8043761162616628,0.004130816603303722,0.00022412646487184333,0.007785822293394286
xes3g5m,6.0,12.0,339,0.8292895358964789,0.8223217618514371,0.006967774045041786,-0.0023300032485707,0.016904638130744724
junyi,0.0,1.0,22111,0.8256290913337168,0.825794962892675,-0.00016587155895819716,-0.0008984659537699003,0.000520238598788536
POOLED,0.0,1.0,59838,0.8600231790185017,0.8595355199939387,0.000487659024562993,,
POOLED,1.0,3.0,29982,0.8335666593947487,0.8306665990837485,0.0029000603110002137,,
POOLED,3.0,6.0,31737,0.7991849636485234,0.7961053012822985,0.0030796623662248802,,
POOLED,6.0,12.0,47436,0.7874823953369144,0.7849144262152172,0.002567969121697332,,
POOLED,12.0,inf,104543,0.7861944305044511,0.7844284413558746,0.0017659891485763738,,
POOLED_COMPLETE,0.0,1.0,28656,0.9114188600913127,0.9108978247696962,0.0005210353216164153,,
POOLED_COMPLETE,1.0,3.0,21800,0.845469672498973,0.8434224131509049,0.0020472593480679053,,
POOLED_COMPLETE,3.0,6.0,28630,0.7981733199756107,0.7952077315253692,0.002965588450241507,,
POOLED_COMPLETE,6.0,12.0,47097,0.7871814712727556,0.7846451715539716,0.0025362997187839027,,
POOLED_COMPLETE,12.0,inf,104543,0.7861944305044511,0.7844284413558746,0.0017659891485763738,,
