variant,pairs,weight_sum,mrr,hit@1,ndcg@1,hit@3,ndcg@3,hit@5,ndcg@5,hit@10,ndcg@10,dataset,role
CRG_fused_prior,261932,192329.6300000001,0.1590961910455448,0.0599189006914846,0.0599189006914846,0.1498625042849611,0.1111463220764079,0.2309245330529673,0.1445081239965829,0.3649219831598487,0.1875060496472314,assist_09,crg_candidate
CRG_item_only,261932,192329.6300000001,0.0834925681558426,0.0308491208556892,0.0308491208556892,0.0659594156137044,0.0513824986836645,0.0932926975422351,0.0626578487984734,0.1635789555670647,0.0851522982129691,assist_09,crg_candidate
CRG_seq_only,261932,192329.6300000001,0.1698737236112195,0.0735582447696696,0.0735582447696696,0.1641260371581851,0.1249267271482249,0.2329635324520719,0.1532437510663646,0.3673130343982878,0.1963662548598027,assist_09,crg_candidate
CRG_support_uniform,261932,192329.6300000001,0.06004543961509,0.0110221186407939,0.0110221186407939,0.0359980414874192,0.0260386160140299,0.0494607617141466,0.0315079434848699,0.1345323650859204,0.0586709401077334,assist_09,random_or_uniform
CRG_degree_random,261932,192329.6300000001,0.0575592350698083,0.0104709295182442,0.0104709295182442,0.0347452444014996,0.0247175692860454,0.0545279996639103,0.0326704646861746,0.1357733075241708,0.0585262398957298,assist_09,degree_random
CRG_uniform_offdiag,261932,192329.6300000001,0.0588987162014119,0.0108932773384943,0.0108932773384943,0.0355168883754416,0.0257285743970728,0.0485622002184478,0.0310330266288386,0.1320961310017598,0.0577198808685515,assist_09,random_or_uniform
CRG_self_only,261932,192329.6300000001,0.0461373083326797,0.0,0.0,0.0164402125663112,0.0096463604006702,0.0418447745155023,0.0203101979947715,0.1123797201710417,0.0428519126318893,assist_09,self
CRG_fused_prior,200943,150672.50999999998,0.071749069881572,0.020175611330826,0.020175611330826,0.0557862213883607,0.0403457375248271,0.0888728806601815,0.0538836975245995,0.1648150681235747,0.0781847322900564,junyi,crg_candidate
CRG_item_only,200943,150672.50999999998,0.006988431091279,0.0001196635006611,0.0001196635006611,0.0009269773232024,0.0005364766039211,0.0011386284067345,0.0006235985231772,0.0023091803541336,0.0009833311015863,junyi,crg_candidate
CRG_seq_only,200943,150672.50999999998,0.071749069881572,0.020175611330826,0.020175611330826,0.0557862213883607,0.0403457375248271,0.0888728806601815,0.0538836975245995,0.1648150681235747,0.0781847322900564,junyi,crg_candidate
CRG_support_uniform,200943,150672.50999999998,0.0172032536194862,0.0024789525308896,0.0024789525308896,0.0080461259986974,0.0056491436119564,0.0132050630868232,0.0077415728836949,0.0261262655012516,0.0118352363360611,junyi,random_or_uniform
CRG_degree_random,200943,150672.50999999998,0.0114659589852273,0.0017213491697987,0.0017213491697987,0.0058544189646804,0.0040381645439081,0.0090364858194769,0.0053360001799268,0.0170794261010186,0.0078646942114528,junyi,degree_random
CRG_uniform_offdiag,200943,150672.50999999998,0.0095385406607669,0.0001645290172706,0.0001645290172706,0.0046948179200041,0.0024990172018439,0.0093848572642746,0.0045029451186358,0.021906849497629,0.008442616979512,junyi,random_or_uniform
CRG_self_only,200943,150672.50999999998,0.0067153737631184,0.0,0.0,0.0002379332500666,0.0001350773119211,0.0010480345751192,0.0004782304064995,0.0020482170237955,0.0007817329577329,junyi,self
CRG_fused_prior,294609,215853.45,0.1423831199477312,0.0500780969681049,0.0500780969681049,0.1249004822484885,0.0925344840566758,0.1875700388388511,0.118129770380304,0.3333266621404476,0.1648693049543078,assist_17,crg_candidate
CRG_item_only,294609,215853.45,0.1020456000678941,0.0340049232476942,0.0340049232476942,0.0887950134686288,0.0653710343387448,0.127523141279419,0.0813448277244557,0.2160223985301138,0.1097059664383448,assist_17,crg_candidate
CRG_seq_only,294609,215853.45,0.1987183014791126,0.0922037150668659,0.0922037150668659,0.2051986197116608,0.1572463308660632,0.2714478735456858,0.1843971369431507,0.4112559701964459,0.2293394643052452,assist_17,crg_candidate
CRG_support_uniform,294609,215853.45,0.078122650044152,0.0184858754863542,0.0184858754863542,0.0490733875228772,0.035230202018457,0.0779192549389412,0.046643935274883,0.1549745440714522,0.0723957773342035,assist_17,random_or_uniform
CRG_degree_random,294609,215853.45,0.0749882168384368,0.0178243155251861,0.0178243155251861,0.0492464679160791,0.0351201229017922,0.0810406319658082,0.0479597409401291,0.1617610466731015,0.0744968333438255,assist_17,degree_random
CRG_uniform_offdiag,294609,215853.45,0.0749946286633734,0.0184826325453681,0.0184826325453681,0.0490719050355692,0.0352250126983343,0.0779103136873652,0.0466314284645814,0.1543659367038146,0.0722065639784659,assist_17,random_or_uniform
CRG_self_only,294609,215853.45,0.0604289032964494,0.0,0.0,0.0387317877013316,0.0217858203751826,0.0710970799864445,0.0347595672783451,0.1320235557967685,0.055392067835939,assist_17,self
